video_id,video_title,question_id,question,answer,difficulty
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q001,ماذا ورد في هذا الموضع من النص؟,- صرح كبير،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q002,ما الجملة المذكورة في هذا السياق؟,ويزوره ملايين الناس لمّا أموت،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q003,كيف صيغت العبارة هنا؟,"- صرح إيه يا ""أمل""؟!",Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q004,ما الذي قيل في هذا الجزء؟,- إيه دا؟!,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,تبني أصرحة وأضرحة،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q006,ماذا ورد في هذا الموضع من النص؟,- هرم.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q007,ما الجملة المذكورة في هذا السياق؟,السلام عليكم ورحمة الله وبركاته،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q008,كيف صيغت العبارة هنا؟,"من برنامج ""الدحّيح""!",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q009,ما الذي قيل في هذا الجزء؟,تبقى ليلة سعيدة في حياته،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,بتتعب وبتتوفى بسبب مضاعفات الولادة.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q011,ماذا ورد في هذا الموضع من النص؟,"للدرجادي الست دي كانت كويسة؟!""",Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q012,ما الجملة المذكورة في هذا السياق؟,"غيّرلها اسمها الأصلي ""أرجمان مانو""،",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q013,كيف صيغت العبارة هنا؟,من أهم قصص الحُب في التاريخ.,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q014,ما الذي قيل في هذا الجزء؟,"والحاج ""أحمد السُبكي""،",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,كمّلت لحد ما جيبنا أول مولود،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q016,ماذا ورد في هذا الموضع من النص؟,في تاريخ إمبراطوريته،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q017,ما الجملة المذكورة في هذا السياق؟,إنه من عجايب الدنيا السبعة الحديثة،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q018,كيف صيغت العبارة هنا؟,أول حاجة محتاجين نسألها هنا,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q019,ما الذي قيل في هذا الجزء؟,بإنه يبنيلها صرح؟,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,محتاجين نرجع لثقافة البلد،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q021,ماذا ورد في هذا الموضع من النص؟,إن واحدة من أكبر وأقوى الدول المسلمة تاريخيًا,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q022,ما الجملة المذكورة في هذا السياق؟,أو The Mughals.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q023,كيف صيغت العبارة هنا؟,"لـ""بنجلاديش"" و""أفغانستان""،",Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q024,ما الذي قيل في هذا الجزء؟,وصل لمئات الملايين.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q025,ما النص الحرفي المذكور في هذه الفقرة؟,كان عنده 13 سنة، كان Teenager،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q026,ماذا ورد في هذا الموضع من النص؟,"وسيطرت على ""الهند"" بالكامل.",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q027,ما الجملة المذكورة في هذا السياق؟,انت مشكلتك إن انت بتسرح،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q028,كيف صيغت العبارة هنا؟,على إمبراطورية مساحتها مهولة،,Medium
